Source	Target	Type	Label	Wheigt
/BD_152	/BD_151	UnDirected	a-circio	1
/BD_152	/BD_153	UnDirected	a-meridie	1
/BD_152	/BND_851	UnDirected	a-occident	1
/BD_152	/R_10	UnDirected	in	1
/BD_152	/R_10	UnDirected	a-orient	1
/BD_153	/BD_146	UnDirected	a-occident	1
/BD_153	/BD_152	UnDirected	a-circio	1
/BD_153	/BD_154	UnDirected	a-meridie	1
/BD_153	/BD_155	UnDirected	a-meridie	1
/BD_153	/BND_851	UnDirected	a-occident	1
/BD_153	/R_10	UnDirected	in	1
/BD_153	/R_10	UnDirected	a-orient	1
/BD_154	/BD_146	UnDirected	a-occident	1
/BD_154	/BD_153	UnDirected	a-circio	1
/BD_154	/BD_155	UnDirected	a-orient	1
/BD_154	/BD_156	UnDirected	a-meridie	1
/BD_154	/R_10	UnDirected	in	1
/BD_155	/BD_153	UnDirected	a-circio	1
/BD_155	/BD_154	UnDirected	a-occident	1
/BD_155	/BD_156	UnDirected	a-occident	1
/BD_155	/BD_156	UnDirected	a-meridie	1
/BD_155	/R_10	UnDirected	in	1
/BD_155	/R_10	UnDirected	a-orient	1
/BD_156	/BD_146	UnDirected	a-occident	1
/BD_156	/BD_154	UnDirected	a-circio	1
/BD_156	/BD_155	UnDirected	a-circio	1
/BD_156	/BD_157	UnDirected	a-meridie	1
/BD_156	/R_10	UnDirected	in	1
/BD_156	/R_10	UnDirected	a-orient	1
/BD_157	/BD_146	UnDirected	a-occident	1
/BD_157	/BD_156	UnDirected	a-circio	1
/BD_157	/BD_158	UnDirected	a-meridie	1
/BD_157	/R_10	UnDirected	in	1
/BD_157	/R_10	UnDirected	a-orient	1
/BD_158	/BD_157	UnDirected	a-circio	1
/BD_158	/BD_159	UnDirected	a-meridie	1
/BD_158	/BD_464	UnDirected	a-occident	1
/BD_158	/R_9	UnDirected	in	1
/BD_158	/R_9	UnDirected	a-orient	1
/BD_159	/BD_158	UnDirected	a-circio	1
/BD_159	/BD_160	UnDirected	a-occident	1
/BD_159	/R_9	UnDirected	in compito-sive-cantono	1
/BD_159	/R_9	UnDirected	a-orient	1
/BD_159	/R_9	UnDirected	a-meridie	1
/BD_16	/BD_15	UnDirected	a-circio	1
/BD_16	/BD_17	UnDirected	a-orient	1
/BD_16	/R_54	UnDirected	a-occident	1
/BD_16	/R_54	UnDirected	a-meridie	1
/BD_160	/BD_158	UnDirected	a-circio	1
/BD_160	/BD_159	UnDirected	a-orient	1
/BD_160	/BD_451	UnDirected	a-occident	1
/BD_160	/R_9	UnDirected	in	1
/BD_160	/R_9	UnDirected	a-meridie	1
/BD_161	/BD_162	UnDirected	a-meridie	1
/BD_161	/BD_163	UnDirected	a-orient	1
/BD_161	/L_224	UnDirected	ante	1
/BD_161	/R_8	UnDirected	in compito-sive-cantono	1
/BD_161	/R_8	UnDirected	a-occident	1
/BD_161	/R_9	UnDirected	in compito-sive-cantono	1
/BD_161	/R_9	UnDirected	a-circio	1
/BD_162	/BD_161	UnDirected	a-circio	1
/BD_162	/BD_163	UnDirected	a-circio	1
/BD_162	/BD_164	UnDirected	a-orient	1
/BD_162	/BND_852	UnDirected	a-meridie	1
/BD_162	/R_8	UnDirected	a-occident	1
/BD_162	/R_9	UnDirected	in	1
/BD_163	/BD_161	UnDirected	a-occident	1
/BD_163	/BD_162	UnDirected	a-meridie	1
/BD_163	/BD_164	UnDirected	a-orient	1
/BD_163	/R_9	UnDirected	in	1
/BD_163	/R_9	UnDirected	a-circio	1
