"id","nom","nomActuel","the_geom","length","type","detailLoc"
103,"Rue Petite Meuse",NULL,"01050000206A080000010000000102000000050000001A8719AEA4CB2941B374B8C40F1A584181BF2A5FAFCB2941123EF034121A5841B050FE70BDCB294173AC06DA171A5841B8940F6FC2CB2941F399CA821B1A58413EDE14B2CDCB294137EE0DF7221A5841",NULL,"Rue",NULL
1117,"traversia burgus Guillaume Ortolan",NULL,NULL,NULL,"Traverse",NULL
106,"Rue de la Pignotte",NULL,"01050000206A080000010000000102000000070000003F98FAED7FCC29415EFF2655291A58414640586A97CC294174CE99DA2E1A5841C50C5F70A8CC294105AC6FFF321A5841BBCB6B51BECC294162434256391A584138825390C2CC2941F80972AE3A1A5841E1FBED64C5CC294191F3D9773C1A584167D95F5BC9CC2941804C3AB2401A5841",NULL,"Rue",NULL
107,"Rue du Four des chanoines",NULL,"01050000206A08000001000000010200000002000000C2B46A2922CB294154E6CCF4871A5841ABBC7BB177CB294144A0CD41871A5841",NULL,"Rue",NULL
108,"Place de le porte Aiguière",NULL,"01050000206A08000001000000010200000002000000DAA5CD1318C92941F6B842A18D1A58416442AAEDF0C829417B616DA08E1A5841",NULL,"Place",NULL
112,"Traverse allant de la rue des masses aux lices",NULL,"01050000206A080000010000000102000000070000009056E8F276C82941C5BA0E06FD195841501AFA7F6AC82941EAD2E624FD195841C1072DC153C8294150729116FD1958412C7588C742C829415BCD15E7FC1958411B325EAF24C82941BC39E865FC19584102A7393DDDC729415110E65EFA195841EDB99036B8C72941B1944646F9195841",NULL,"Traverse",NULL
755,"rue publique vers le bourg de sainte-catherine peut-être la même que 752",NULL,NULL,NULL,"Rue",NULL
116,"Rue droite du Portail Evêque",NULL,NULL,NULL,"Rue",NULL
713,NULL,NULL,"01050000206A08000001000000010200000003000000547684FBA1C82941DFB4301F241A58419A22F23DBAC829415582129E231A584163AD8428F9C82941D1AB1ACB211A5841",NULL,NULL,NULL
59,"Grande-Rue",NULL,"01050000206A0800000100000001020000000700000037B985E854CA29413EC054CFD7195841399BED8B5CCA294148AAF766DD195841866365BB6ACA294100970350E21958415F8EF5D15FCA29414275D8E7EA19584137B985E854CA2941F6DDC6D6F0195841C6EEB94447CA2941FC434C74F7195841C6EEB94447CA2941FC434C74F7195841","130.056776230104","Rue",NULL
66,"Rue du change",NULL,"01050000206A080000010000000102000000040000001BADBEFF8BC9294187B8A63C301A58418FA1D2279CC9294105BAF6262E1A58415F8E0CFFB6C9294182BB46112C1A58417F713E63DFC9294111BC24492B1A5841","47.8465822031978","Rue",NULL
1766,"carreria publica prope pontem fratrum minorum",NULL,NULL,NULL,"Rue","Proche du pont id. 469"
3,"Rue des Grottes",NULL,"01050000206A080000010000000102000000060000006442AAEDF0C829417B616DA08E1A58414994295AE6C829414F15E5FF891A5841A7BAC821D9C8294139EFA0AF871A584168244774C0C829412F4A24A97D1A5841401F0697B0C829416B5EBB566F1A58412EF2B6BFA3C82941284D92AC661A5841","165.660773176212","Rue",NULL
