idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BND_856;1097;1;1366;1368;S
BND_857;1098;1;1366;1368;S
BND_858;743;1;1366;1368;S
BND_859;4;1;1366;1368;S
BND_859;5;1;1366;1368;S
BND_860;199;1;1366;1368;S
BND_861;179;1;1366;1368;S
BND_861;178;1;1366;1368;S
BND_861;177;1;1366;1368;S
BND_862;91;1;1366;1368;S
BND_863;184;1;1366;1368;S
BND_864;32;1;1366;1368;S
BND_865;869;1;1366;1368;S
BND_866;869;1;1366;1368;S
BND_867;1099;1;1366;1368;S
BND_868;5;1;1366;1368;S
BND_868;4;1;1366;1368;S
BND_869;112;1;1366;1368;S
BND_870;900;1;1366;1368;S
BND_871;1250;1;1366;1368;S
BND_872;393;1;1366;1368;S
BND_873;859;1;1366;1368;S
BND_874;1077;1;1366;1368;S
BND_875;783;1;1366;1368;S
BND_876;1100;1;1366;1368;S
BND_877;1101;1;1366;1368;S
BND_878;115;1;1366;1368;S
BND_879;224;1;1366;1368;S
BND_880;1104;1;1366;1368;S
BND_881;282;1;1366;1368;S
BND_882;358;1;1366;1368;S
BND_883;1105;1;1366;1368;S
BND_884;1106;1;1366;1368;S
BND_885;989;1;1366;1368;S
BND_886;241;1;1366;1368;S
BND_887;1107;1;1366;1368;S
BD_1001;474;1;1366;NULL;S
BD_1002;472;1;1364;NULL;S
BD_1002;574;1;1364;NULL;S
BD_1003;495;1;1364;NULL;S
BD_1004;495;1;1364;NULL;S
BD_1005;495;1;1364;NULL;S
BD_1006;495;1;1364;NULL;S
BD_1007;27;1;1364;NULL;S
BD_1008;405;1;1364;NULL;S
BD_1009;575;1;1364;NULL;S
BD_1009;508;1;1364;NULL;S
BD_1010;439;1;1364;NULL;S
BD_1011;450;1;1365;NULL;S
BD_1012;547;1;1365;NULL;S
BD_1013;560;1;1364;NULL;S
BD_1014;479;1;1366;NULL;S
BD_1015;458;1;1364;NULL;S
BD_1016;427;1;1363;NULL;S
BD_1017;410;1;1363;NULL;S
BD_1018;424;1;1364;NULL;S
BD_1019;556;1;1364;NULL;S
BD_1020;550;1;1363;NULL;S
BD_1021;483;1;1363;NULL;S
BD_1022;563;1;1367;NULL;S
BD_1023;509;1;1363;NULL;S
BD_1024;487;1;1364;NULL;S
BD_1025;447;1;1366;NULL;S
BD_1026;435;1;1363;NULL;S
BD_1027;481;1;1363;NULL;S
BD_1028;436;1;1367;NULL;S
BD_1029;423;1;1364;NULL;S
BD_1030;413;1;1365;NULL;S
BD_1031;104;1;1363;NULL;S
BD_1032;542;1;1370;NULL;S
BD_1033;527;1;1363;NULL;S
BD_1033;576;1;1363;NULL;S
BD_1034;542;1;1364;NULL;S
BD_1035;420;1;1363;NULL;S
BD_1035;32;1;1363;NULL;S
BD_1036;459;1;1363;NULL;S
BD_1037;220;1;1363;NULL;S
BD_1038;512;1;1363;NULL;S
BD_1039;537;1;1363;NULL;S
BD_1040;538;1;1363;NULL;S
BD_1041;520;1;1365;NULL;S
BD_1042;561;1;1367;NULL;S
BD_1043;448;1;1363;NULL;S
BD_1044;411;1;1364;NULL;S
BD_1045;200;1;1363;NULL;S
BD_1045;432;1;1363;NULL;S
BD_1046;472;1;1364;NULL;S
BD_1047;434;1;1363;NULL;S
BD_1048;466;1;1376;NULL;S
BD_1049;532;1;1376;NULL;S
BD_1050;572;1;1363;NULL;S
BD_1050;554;1;1363;NULL;S
BD_1051;409;1;1364;NULL;S
BD_1052;545;1;1366;NULL;S
BD_1053;457;1;1366;NULL;S
BD_1054;462;1;1363;NULL;S
BD_1055;577;1;1365;NULL;S
BD_1055;489;1;1365;NULL;S
BD_1056;546;1;1364;NULL;S
BD_1057;478;1;1363;NULL;S
BD_1058;497;1;1363;NULL;S
BD_1059;443;1;1364;NULL;S
BD_1060;506;1;1364;NULL;S
BD_1061;334;1;1366;NULL;S
BD_1062;523;1;1363;NULL;S
BD_1063;452;1;1365;NULL;S
BD_1064;490;1;1367;NULL;S
BD_1065;503;1;1363;NULL;S
BD_1066;503;1;1368;NULL;S
BD_1067;559;1;1366;NULL;S
BD_1068;431;1;1363;NULL;S
BD_1069;578;1;1378;NULL;S
BD_1069;503;1;1378;NULL;S
BD_1070;483;1;1363;NULL;S
BD_1071;348;1;1364;NULL;S
BD_1072;519;1;1363;NULL;S
BD_1073;515;1;1365;NULL;S
BD_1074;524;1;1363;NULL;S
BD_1075;444;1;1363;NULL;S
BD_1076;455;1;1365;NULL;S
BD_1077;456;1;1367;NULL;S
BD_1078;442;1;1363;NULL;S
BD_1079;475;1;1363;NULL;S
BD_1080;460;1;1368;NULL;S
BD_1081;477;1;1365;NULL;S
BD_1081;586;1;1365;NULL;S
BD_1082;540;1;1355;NULL;S
