"id","nom","geom","area","perimeter","type","idsave","datePremiereMention","dateCreation"
440,"Bourg des Miracles","01060000206A0800000100000001030000000100000005000000A87586D75FC52941BB6F7E50C71958419892017163C52941B051AE9DBB195841F0828207C1C5294112EE7E2ABB19584178F4C43ABFC52941ECBDE616C7195841A87586D75FC52941BB6F7E50C7195841",NULL,NULL,NULL,28,NULL,NULL
438,"Bourg de la Prevôté","01060000206A0800000100000001030000000100000005000000F929E086EEC62941501E259F051A58419E15E2FCF4C62941A088D540FC195841D1A033125BC7294168D48893FC195841EB56970652C72941643A5C5D061A5841F929E086EEC62941501E259F051A5841",NULL,NULL,NULL,26,NULL,NULL
439,"Bourg de Jean Peyssonnier","01060000206A080000010000000103000000010000000500000029752C39F6C62941A9DC2F2DE51958415204292141C72941A9DC2F2DE51958419CEA975E45C7294157048CDFDC1958414217FCA2F7C6294157048CDFDC19584129752C39F6C62941A9DC2F2DE5195841",NULL,NULL,NULL,27,NULL,NULL
441,"Bourg de Pons de Monteux puis de Baudet de Sade","01060000206A0800000100000001030000000100000005000000211C01FF38C82941F22BCAA9D6195841295A6E813BC82941CAF5A71DCA19584139F8B9928FC8294167D2E554C9195841E3094FCA88C8294105B1F49CD5195841211C01FF38C82941F22BCAA9D6195841",NULL,NULL,NULL,29,NULL,NULL
442,"Bourg de Pierre de Morières ou des Pasquiers","01060000206A0800000100000001030000000100000005000000A35DDC8065C929412AB2089ABA195841309D136069C92941240E695DAC195841FEFF12B0D2C92941367F2C39AC1958416ED89BDBD4C9294119D2822EBA195841A35DDC8065C929412AB2089ABA195841",NULL,NULL,NULL,30,NULL,NULL
443,"Bourg de la Ferrage de Sainte-Catherine","01060000206A0800000100000001030000000100000005000000F8857111B3CA29419E7D2BEFB3195841E417B7C0C2CA2941AF420972A61958415E24A42262CA29416FB6F55DA619584160FECE4060CA2941DED8F0B2B3195841F8857111B3CA29419E7D2BEFB3195841",NULL,NULL,NULL,31,NULL,NULL
445,"Bourg de Jean de Cario","01060000206A0800000100000001030000000100000005000000B95831218FCA29414294478BCE195841FCB9727C98CA29410355C12EC3195841B996D902E6CA2941AC49D8D9C3195841576A83A0DECA29416B510DB6CE195841B95831218FCA29414294478BCE195841",NULL,NULL,NULL,33,NULL,NULL
444,"Bourg d'Ortigue Ortigue","01060000206A080000010000000103000000010000000600000084DBE729D1CA29416C061247C21958416EF121AAE0CA294121D43C25B41958410248756FE1CA2941DB549D5BB11958414CB970AC48CB29413B6A4581B21958416E2FCA8B37CB29410355C12EC319584184DBE729D1CA29416C061247C2195841",NULL,NULL,NULL,32,NULL,NULL
446,"Bourg de l'Hôpital Saint-Jean de Jérusalem","01060000206A08000001000000010300000001000000060000006FE40AE3B8CD2941CBB08619E81958416FE40AE3B8CD2941CBB08619E81958416B6DBB68BCCD29416D4655CBDC195841B83B20F30CCE2941CA3E6875DE195841EFF3F50E09CE2941B7638431E91958416FE40AE3B8CD2941CBB08619E8195841",NULL,NULL,NULL,34,NULL,NULL
418,"Bourg de Louis Mauvoisin","01060000206A0800000100000001030000000100000005000000644DB61535C82941F382EDD9EA1958415C51A35234C82941ED9885E2E6195841BFFFB4F461C829413731CC1CE71958415ACDD3A562C8294114F5203BEB195841644DB61535C82941F382EDD9EA195841",NULL,NULL,NULL,6,NULL,NULL
426,"Bourg des Ortolans","01060000206A0800000100000001030000000100000005000000517AAB4DA3CE2941C3EB615B431A58410BB016B7A6CE294123DF494C321A5841051A6FC312CF294141D7D89B311A5841C63B833404CF2941EADF511B431A5841517AAB4DA3CE2941C3EB615B431A5841",NULL,NULL,NULL,14,NULL,NULL
425,"Bourg de Guillaume Ortolan","01060000206A0800000100000001030000000100000006000000AB744A864AC629417D128749FF195841376ABABA4EC62941B328195AF61958417F27F29F96C62941937F1C88F6195841106685D289C6294101E50E8E031A584147FB99774AC62941FB740351011A5841AB744A864AC629417D128749FF195841",NULL,NULL,NULL,13,NULL,NULL
452,"Bourg de Pierre Estève puis de Saint-Véran","01060000206A080000010000000103000000010000000500000058022DCCC9CE2941480666CD281A58415A775E3C6ACE2941D234045F291A5841E0552CE468CE2941E5CCD1AA1A1A584102EB0FE6D2CE2941240E2D41191A584158022DCCC9CE2941480666CD281A5841",NULL,NULL,NULL,40,NULL,NULL
453,"Bourg du Doyen du Prévôt","01060000206A0800000100000001030000000100000005000000370E9306F1CD2941124538B6491A58417D78F96E6CCE29419B07F8B5491A584180E405066DCE2941A884D74D431A584115ADD203F7CD29414E925E91441A5841370E9306F1CD2941124538B6491A5841",NULL,NULL,NULL,41,NULL,NULL
