"idLienIndividu","idIndividu1","idIndividu2","descriptionLien","typeLien"
1588,3385,3907,"epouse","LIFAM"
1036,1516,1039,"familier","LIFAM"
1005,2218,1911,"epouse","LIFAM"
998,2207,2337,"veuve","LIFAM"
982,2269,2334,"fille","LIFAM"
1032,1939,312,"mere","LIFAM"
1001,2209,2130,"fille","LIFAM"
679,983,113,"socius caparum","LITRA"
1592,3454,3528,"epouse","LIFAM"
1593,3497,3910,"epouse","LIFAM"
1594,3518,3913,"epouse","LIFAM"
1596,3606,3915,"epouse","LIFAM"
598,836,1080,"courrier","LITRA"
1049,2360,1847,"fille","LIFAM"
975,1844,2333,"fils","LIFAM"
984,2131,2126,"fils","LIFAM"
1019,2107,1277,"fils","LIFAM"
1002,1816,765,"fils","LIFAM"
1006,2198,136,"fils","LIFAM"
1007,2339,1606,"fils","LIFAM"
1009,2222,2340,"fils","LIFAM"
1024,2072,2090,"fils","LIFAM"
1028,2348,2253,"fils","LIFAM"
1034,1866,2350,"fils","LIFAM"
994,1594,1766,"frere","LIFAM"
988,719,1020,"frere","LIFAM"
1030,312,1987,"frere","LIFAM"
1012,2152,1508,"heritier","LIFAM"
1022,1826,2346,"heritier","LIFAM"
1023,2072,2090,"heritier","LIFAM"
1039,2065,1851,"heritier","LIFAM"
1045,1526,2356,"heritier","LIFAM"
1064,2372,2373,"heritier","LIFAM"
1067,1501,2375,"heritier","LIFAM"
1070,1670,2378,"heritier","LIFAM"
1087,1764,2391,"heritier","LIFAM"
1934,9144,9145,"heritier","LIFAM"
649,979,1080,"maitre d hotel","LITRA"
1081,1618,2386,"mere","LIFAM"
550,820,1045,"mere","LIFAM"
621,973,216,"portier","LITRA"
1071,1670,2379,"epouse dorenavant","LIFAM"
1104,2411,1825,"epouse dorenavant","LIFAM"
1000,2130,551,"veuve","LIFAM"
1017,1876,2098,"veuve","LIFAM"
1038,467,1173,"veuve","LIFAM"
1931,9131,9132,"veuve","LIFAM"
1041,1528,2354,"veuve","LIFAM"
1043,1500,2353,"veuve","LIFAM"
1057,1664,1010,"veuve","LIFAM"
1933,9139,9140,"veuve","LIFAM"
1080,2383,1566,"veuve","LIFAM"
1088,1764,2391,"veuve","LIFAM"
1090,1865,2396,"veuve","LIFAM"
1093,1559,2399,"veuve","LIFAM"
1935,9146,9147,"veuve","LIFAM"
1098,1860,2402,"veuve","LIFAM"
1597,3617,3614,"epouse","LIFAM"
1902,3791,1080,"sergent d armes","LITRA"
1944,9077,1080,"scribe","LITRA"
1421,1247,1080,"scribe des lettres","LITRA"
1938,9153,1080,"sergent d armes","LITRA"
1419,1149,1080,"sergent d armes","LITRA"
1423,1730,1080,"sergent d armes","LITRA"
1416,1128,1080,"sergent d armes","LITRA"
1340,282,2561,"tutrice","LIFAM"
1424,1765,1080,"huissier de la premiere porte du palais","LITRA"
1598,3669,3670,"epouse","LIFAM"
1599,3797,3917,"epouse","LIFAM"
1604,3488,3489,"epouse","LIFAM"
1606,3082,3921,"epouse","LIFAM"
1607,3603,3922,"epouse","LIFAM"
836,1778,1571,"epouse","LIFAM"
837,2271,2272,"epouse","LIFAM"
1151,2427,1080,"huissier","LITRA"
1108,2416,2415,"heritier","LIFAM"
838,2273,2274,"epouse","LIFAM"
1371,2663,1080,"abreviateur","LITRA"
1468,2939,1080,"abreviateur","LITRA"
459,1106,1080,"abreviateur","LITRA"
1420,1194,1080,"abreviateur","LITRA"
1417,1139,1080,"barbier","LITRA"
1943,9126,1080,"barbier","LITRA"
1110,2417,2415,"heritier","LIFAM"
1112,2418,2415,"heritier","LIFAM"
1903,4511,1080,"cuisinier","LITRA"
1901,7077,9017,"cuisinier","LITRA"
1415,1126,1080,"courrier","LITRA"
1109,2416,2415,"fille","LIFAM"
1116,2423,2422,"fille","LIFAM"
1119,2478,2477,"fille","LIFAM"
1147,2370,1838,"fille","LIFAM"
1149,1575,1668,"fille","LIFAM"
1155,2433,2434,"fille","LIFAM"
1106,1803,2412,"fils","LIFAM"
1111,2417,2415,"fils","LIFAM"
1113,2418,2415,"fils","LIFAM"
1117,2424,2425,"fils","LIFAM"
1121,1545,2479,"fils","LIFAM"
1123,994,1520,"fils","LIFAM"
1131,2463,2462,"fils","LIFAM"
1132,2464,2462,"fils","LIFAM"
1133,2465,2462,"fils","LIFAM"
1137,2469,2470,"fils","LIFAM"
1139,1688,2471,"fils","LIFAM"
1142,1813,1509,"fils","LIFAM"
1148,2426,1830,"fils","LIFAM"
1157,1633,2435,"fils","LIFAM"
1120,2478,2477,"heritier","LIFAM"
1129,1167,1534,"heritier","LIFAM"
