idConfront,localisation,idBien1,idBien2,idInvariant,idQuartierParoisse,localisationTN
135,a-occident,60,61,NULL,NULL,confronte a l ouest avec
136,a-meridie,60,62,NULL,NULL,confronte au sud avec
1315,a-orient,60,NULL,17,NULL,confronte a l est avec
5531,in,60,NULL,NULL,6,a l interieur de
137,a-orient,61,60,NULL,NULL,confronte a l est avec
138,a-circio,61,59,NULL,NULL,confronte au nord avec
139,a-occident,61,185,NULL,NULL,confronte a l ouest avec
140,a-meridie,61,62,NULL,NULL,confronte au sud avec
5532,in,61,NULL,NULL,6,a l interieur de
141,a-circio,62,61,NULL,NULL,confronte au nord avec
142,a-occident,62,185,NULL,NULL,confronte a l ouest avec
143,a-occident,62,186,NULL,NULL,confronte a l ouest avec
144,a-meridie,62,63,NULL,NULL,confronte au sud avec
1316,a-orient,62,NULL,17,NULL,confronte a l est avec
5533,in,62,NULL,NULL,6,a l interieur de
145,a-circio,63,62,NULL,NULL,confronte au nord avec
146,a-occident,63,187,NULL,NULL,confronte a l ouest avec
147,a-meridie,63,64,NULL,NULL,confronte au sud avec
148,a-meridie,63,65,NULL,NULL,confronte au sud avec
1317,a-orient,63,NULL,17,NULL,confronte a l est avec
5534,in,63,NULL,NULL,6,a l interieur de
149,a-circio,64,63,NULL,NULL,confronte au nord avec
150,a-meridie,64,65,NULL,NULL,confronte au sud avec
151,a-occident,64,65,NULL,NULL,confronte a l ouest avec
1318,a-orient,64,NULL,17,NULL,confronte a l est avec
5535,in,64,NULL,NULL,6,a l interieur de
152,a-orient,65,64,NULL,NULL,confronte a l est avec
153,a-occident,65,187,NULL,NULL,confronte a l ouest avec
154,a-occident,65,188,NULL,NULL,confronte a l ouest avec
155,a-meridie,65,66,NULL,NULL,confronte au sud avec
156,a-meridie,65,67,NULL,NULL,confronte au sud avec
5536,in,65,NULL,NULL,6,a l interieur de
157,a-circio,66,65,NULL,NULL,confronte au nord avec
158,a-meridie,66,69,NULL,NULL,confronte au sud avec
159,a-occident,66,67,NULL,NULL,confronte a l ouest avec
961,a-circio,66,NULL,432,NULL,confronte au nord avec
1319,a-orient,66,NULL,17,NULL,confronte a l est avec
1523,a-meridie,66,NULL,1126,NULL,confronte au sud avec
5537,in,66,NULL,NULL,6,a l interieur de
160,a-orient,67,66,NULL,NULL,confronte a l est avec
161,a-circio,67,65,NULL,NULL,confronte au nord avec
162,a-occident,67,188,NULL,NULL,confronte a l ouest avec
1524,a-meridie,67,NULL,1126,NULL,confronte au sud avec
5538,in,67,NULL,NULL,6,a l interieur de
163,a-occident,68,70,NULL,NULL,confronte a l ouest avec
164,a-meridie,68,71,NULL,NULL,confronte au sud avec
165,a-orient,68,69,NULL,NULL,confronte a l est avec
1525,a-circio,68,NULL,1126,NULL,confronte au nord avec
5539,in,68,NULL,NULL,6,a l interieur de
166,a-circio,69,66,NULL,NULL,confronte au nord avec
167,a-occident,69,68,NULL,NULL,confronte a l ouest avec
168,a-meridie,69,70,NULL,NULL,confronte au sud avec
1320,a-orient,69,NULL,17,NULL,confronte a l est avec
1526,a-circio,69,NULL,1126,NULL,confronte au nord avec
5540,in,69,NULL,NULL,6,a l interieur de
169,a-circio,70,69,NULL,NULL,confronte au nord avec
170,a-occident,70,817,NULL,NULL,confronte a l ouest avec
171,a-meridie,70,71,NULL,NULL,confronte au sud avec
172,a-meridie,70,72,NULL,NULL,confronte au sud avec
962,a-occident,70,NULL,434,NULL,confronte a l ouest avec
1321,a-orient,70,NULL,17,NULL,confronte a l est avec
5541,in,70,NULL,NULL,6,a l interieur de
5542,in,71,NULL,NULL,6,a l interieur de
173,a-circio,72,70,NULL,NULL,confronte au nord avec
174,a-circio,72,71,NULL,NULL,confronte au nord avec
175,a-occident,72,73,NULL,NULL,confronte a l ouest avec
176,a-meridie,72,73,NULL,NULL,confronte au sud avec
1527,a-orient,72,NULL,1128,NULL,confronte a l est avec
5543,in,72,NULL,NULL,6,a l interieur de
177,a-circio,73,71,NULL,NULL,confronte au nord avec
178,a-circio,73,72,NULL,NULL,confronte au nord avec
179,a-occident,73,71,NULL,NULL,confronte a l ouest avec
180,a-occident,73,72,NULL,NULL,confronte a l ouest avec
181,a-orient,73,72,NULL,NULL,confronte a l est avec
182,a-meridie,73,818,NULL,NULL,confronte au sud avec
1322,a-orient,73,NULL,17,NULL,confronte a l est avec
5544,in,73,NULL,NULL,6,a l interieur de
183,a-circio,74,819,NULL,NULL,confronte au nord avec
184,a-occident,74,197,NULL,NULL,confronte a l ouest avec
185,a-meridie,74,75,NULL,NULL,confronte au sud avec
186,a-meridie,74,199,NULL,NULL,confronte au sud avec
187,a-circio,74,198,NULL,NULL,confronte au nord avec
1323,a-orient,74,NULL,17,NULL,confronte a l est avec
5545,in,74,NULL,NULL,6,a l interieur de
188,a-circio,75,74,NULL,NULL,confronte au nord avec
189,a-meridie,75,76,NULL,NULL,confronte au sud avec
1528,a-orient,75,NULL,1128,NULL,confronte a l est avec
5546,in,75,NULL,NULL,6,a l interieur de
190,a-circio,76,75,NULL,NULL,confronte au nord avec
191,a-occident,76,200,NULL,NULL,confronte a l ouest avec
192,a-meridie,76,77,NULL,NULL,confronte au sud avec
1324,a-orient,76,NULL,17,NULL,confronte a l est avec
5547,in,76,NULL,NULL,6,a l interieur de
193,a-circio,77,76,NULL,NULL,confronte au nord avec
194,a-occident,77,200,NULL,NULL,confronte a l ouest avec
1291,in compito-sive-cantono,77,NULL,16,NULL,a l angle de
1292,a-meridie,77,NULL,16,NULL,confronte au sud avec
1325,a-orient,77,NULL,17,NULL,confronte a l est avec
5548,in,77,NULL,NULL,6,a l interieur de
