Source;Target;Type;Label;typeLien;Wheigt
362;933;;filius;LienFamille;1
366;696;;heres;LienFamille;1
370;760;;uxor;LienFamille;1
372;772;;relicta;LienFamille;1
374;822;;uxor;LienFamille;1
378;113;;palefrenarius;LienProfessionel;1
382;193;;porterius;LienProfessionel;1
382;1080;;custos caniculorum;LienProfessionel;1
382;383;;conjuges;LienFamille;1
385;943;;heres;LienFamille;1
387;402;;uxor;LienFamille;1
387;402;;conjuges;LienFamille;1
387;819;;relicta;LienFamille;1
389;304;;uxor;LienFamille;1
389;840;;filia;LienFamille;1
391;1039;;frater;LienFamille;1
394;395;;pater;LienFamille;1
395;394;;filius;LienFamille;1
396;1080;;scriptor;LienProfessionel;1
397;1018;;filius;LienFamille;1
397;1018;;heres;LienFamille;1
398;1018;;heres;LienFamille;1
398;1018;;filius;LienFamille;1
400;855;;relicta;LienFamille;1
401;1021;;relicta;LienFamille;1
402;387;;conjuges;LienFamille;1
404;1198;;uxor;LienFamille;1
405;1023;;uxor;LienFamille;1
405;28;;gubernatrix;LienFamille;1
405;29;;gubernatrix;LienFamille;1
405;30;;gubernatrix;LienFamille;1
405;28;;mater;LienFamille;1
405;29;;mater;LienFamille;1
405;30;;mater;LienFamille;1
405;28;;tutor;LienFamille;1
405;29;;tutor;LienFamille;1
405;30;;tutor;LienFamille;1
406;1231;;tutor;LienFamille;1
406;1231;;tutor;LienFamille;1
406;1220;;uxor;LienFamille;1
412;2;;uxor;LienFamille;1
418;1252;;filius;LienFamille;1
420;32;;pater;LienFamille;1
421;463;;uxor;LienFamille;1
423;1283;;uxor;LienFamille;1
424;2392;;uxor;LienFamille;1
429;1269;;uxor;LienFamille;1
430;1204;;filius;LienFamille;1
433;1041;;heres;LienFamille;1
433;1041;;filius;LienFamille;1
433;996;;soror;LienFamille;1
433;446;;uxor;LienFamille;1
434;457;;uxor;LienFamille;1
436;1256;;pater;LienFamille;1
436;1275;;uxor;LienFamille;1
436;1280;;pater;LienFamille;1
439;1270;;filia;LienFamille;1
440;1029;;uxor;LienFamille;1
441;1224;;uxor;LienFamille;1
441;1224;;uxor;LienFamille;1
448;1177;;uxor;LienFamille;1
451;105;;uxor;LienFamille;1
451;425;;filia;LienFamille;1
451;105;;uxor;LienFamille;1
454;1080;;familiaris;LienProfessionel;1
458;1115;;filius;LienFamille;1
462;529;;mater;LienFamille;1
462;529;;tutor;LienFamille;1
462;529;;mater;LienFamille;1
467;1173;;uxor;LienFamille;1
467;1173;;relicta;LienFamille;1
472;574;;uxor;LienFamille;1
